True Sentences,Generated Sentences
of using an early exit strategy that have theoretical guarantees instead of simply doing empirical validation to pick $\lambda$? This will probably be especially true in cases where full model (i.e. model without early-exit) performance is sub-optimal which will be the case for many difficult NLP tasks with even today's strongest models). (It's possible I'm missing something here).,"of having such guarantees for early-exit strategies? Clarifying this point would strengthen the motivation for the proposed approach, especially in real-world applications where trade-offs between efficiency and performance are critical."
of the proposed method by comparing with existing methods.,2) Experiments on two datasets verify the effectiveness of the proposed method in improving cross-distribution generalization.
is overall well presented.,3) The proposed method shows promising results.
"policies, architectures, hyper-parameters, etc. It is thus doubtful if the proposed method is generalizable enough when applied in practice.","1) From the implementation details, it seems that the proposed method has quite a few task-specific designs, e.g., training hyper-parameters and batch sizes tailored for each model."
"some special implications. If it is, there should be some explanations about it; otherwise, it could be presented in a better way, or maybe just leave it unfilled.","2) In Table 1, there are many 0.00%, especially for methods LKH and Gurobi, all their result numbers are 0.00%. I am not sure if it has to do with rounding or if these methods consistently achieve optimal solutions."
variance with respect to the hyper-parameters.,3) What is the performance gap?
be argued the other way that graph fourier transforms and graph signal processing are the result of a “kernel trick” based on PCA which is far older. So in this sense GNNs/GCNs are a more general class of networks that subsumes VNNs.,In fact it can be seen as a natural extension of graph convolutional networks (GCNs) to covariance matrices.
have been robust forms of PCA that have been developed including variations of Principal component pursuit.,have been other methods proposed to address PCA instability.
"than vice versa). While this may be desirable for some types of analysis (see Tong et al. IEEE ICCASP 2022 for analysis of cells as signals over gene graphs), I do not believe it has advantages over robust PCA for this specific application.",I believe this is just an application of GCNs to the graph consisting of data features as nodes and data points as signals on the nodes (rather than a fundamentally new architecture).
of GCNs/GNNs to feature covariance matrices and situations where that could be useful.,of GCNs to covariance matrices.
to mutual information or some other relationship type then indeed a more complex relational graph would be necessary and this is precisely where GNNs/GCNs have contributed.,"This is a strictly linear relationship, if this was changed to a non-linear relationship, it could potentially capture more complex dependencies."
again I don't see much advantage in using a neural network for this kind of linear operation.,other matrix factorization techniques.
may facilitate further study in bandits/RL etc. The upper and lower bound is new and non-trivial.,is a significant contribution to the field of reinforcement learning.
"adversarial/stochastic settings, and connections between different complexity notions are well explained.",adversarial and stochastic settings are clearly explained.
not very clear about. Please see the questions section.,concerned about the clarity of certain technical details.
"citations to the original IBA paper. As far as I understand, the paper offers a few novel technical contributions on top of the existing IBA theoretical framework, namely:",work on influence-based abstraction and multi-agent reinforcement learning.
"simulators, each with their own single-agent policy.",simulators to scale up the system.
"agents, with the retraining frequency as a hyperparameter controlling addressing non-stationarity vs stability.",agents' policy updates and interactions.
implying that one does not need exact influences to obtain optimal policies.,showing that similar influence distributions can lead to the same optimal policies.
"be used to accelerate and improve the learning of multi-agent policies, and the underlying ideas are simple enough that I could see them being adopted by the community.",significantly reduce training times and improve scalability in large multi-agent systems.
reasonably well-written and easy to follow.,well-written and easy to follow.
"I haven't checked the derivations, but the resulting claims are not surprising and appear correct.",The theoretical results are sound and well-supported by the experiments.
"relevant multi-agent environment; it puts strong constraints on how the system is simulated. For example, I'm assuming the environments they used in their experiments were implemented by the authors; at least the wording in line 291 seems to imply this is the case for the traffic control experiments, but nothing is said for the warehouse environment. More generally, I didn't see a lot of discussion of this point in the paper, which I would argue is an important omission.","arbitrary environment without significant modifications to the simulator, which could limit its applicability in some real-world scenarios."
results are not necessarily intuitive and not a lot of discussion is offered (see my last main question below).,results could benefit from additional comparisons with other state-of-the-art MARL methods.
by Maennel et al. The paper generalizes the analysis for multiple activation functions.,"in Luo et al. (2021) for two-layer ReLU networks, but this paper extends the analysis to more general activation functions."
"connections. The problem is with Theorem 5.1, although the calculations are informative, they should not be called theorems as they are not rigorous.","connections, and the results are consistent across different architectures and activation functions, providing strong empirical support for the claims."
slight English issues. The figures are nice and illustrative.,"awkward phrasing or could benefit from clearer explanations, particularly in the theoretical sections."
"neural networks. This can yield new inductive biases and training algorithms; also relevant for pruning, compressed networks etc.","over-parameterized neural networks, especially in relation to how activation function multiplicity affects condensation and generalization."
wildlife conservation. The technical work required to extend the problem setting in this way is significant since one must now account for how workers with different (arm/state-specific) expertise may interact (and influence arms' transitions) over time.,anti-poaching patrol scheduling.
"of information is available should be explicitly stated and justified by the availability/""learnability"" of this type of information within the domain(s) of interest. This will be particularly important in settings where there is heteroskedastic uncertainty about workers' intervention effects.","of worker-specific transition matrices is also known may not always hold in real-world applications, and this could limit the applicability of the proposed model in certain domains."
and assumptions before introducing the new solution,and provides a formal framework for continual learning through the lens of feature extraction.
learning process. A direction which is heavily unexplored in the CL community due to the difficulty of the topic.,"learning problem, particularly focusing on the challenges of catastrophic forgetting and the limitations of non-linear feature mappings."
their findings do not apply to all of them. It is particular important to be clear about it when providing negative results such the lower bound in Sec. 5.,"it would be beneficial to clarify which specific setting their results apply to, especially in relation to incremental task learning and other paradigms."
"be wrong otherwise. Generally speaking, it would be more intuitive to see it expressed as a difference with the performance measured in the past on an observed task.","be useful to explore how this assumption holds in more complex or noisy environments, where achieving good accuracy might be more challenging."
"this work is theoretical and the aim is not to outperform some continual learning baselines, but it would be beneficial for the community to understand how big is the gap between theory and practice.","the paper is theoretical, but the practical implications, especially in real-world continual learning applications, remain somewhat unclear and could benefit from further elaboration."
going to have. It would be interesting if the authors could discuss which realistic assumptions on the environments could provide a more favorable situation.,"since the constructed example may not reflect typical real-world scenarios, and the relevance of this bound to practical continual learning tasks is uncertain."
"support their argument, and provided time complexity.", - The authors carefully analyzed to provide a comprehensive solution to the problem of correlation clustering under differential privacy.
"recent work, especially using noised agreement have novelty."," - The authors applied differential privacy to the correlation clustering problem, ensuring privacy guarantees while maintaining approximation quality."
authors need to say the sum of the “absolute value” of negative edges to prevent confusion.," - There are some minor issues in the paper. For example, in lines 20-21, the explanation of the approximation guarantees could be clearer, especially regarding the constants involved."
"not independent, the privacy budget is accumulated by composition theorem. This implies the privacy budget is higher than the authors argued, exactly |G|/2 times higher than expected(The sensitivity of d is 2, as mentioned in line 227, and the sensitivity of d(v) is 1)."," - It seems that the privacy budget is wrongly calculated. In Line 1 of Algorithm 1, the authors added noise to every d(v). Since d(v) = |N(v)| where N is the set of neighbors of a vertex v, d(v)s (for v in V) are correlated, and adding independent noise to each d(v) may not preserve the privacy guarantees as expected. This could lead to an overestimation of the privacy budget."
"submission. For example, [CALM+21], which appears to have motivated the authors is accepted by ICML.", - It would be better if the authors change the arXiv references in the final version to peer-reviewed publications where available.
"directly outputting a score, is novel.","Training an attention layer, while effective in distinguishing mislabeled samples from clean ones, requires additional parameters and computational resources."
simple and empirical works well.,The proposed method is simple yet effective in mitigating the impact of noisy labels.
organized and easy to understand.,This paper is well structured and provides thorough empirical analysis to support its claims.
"clear and easy to follow manner, high clarity.",clear and concise manner.
although extended a previous uniform sampling method.,offering a fresh perspective.
"the ""posterior collapse"" in terms of theoretical analysis.",latent variable modeling.
the claims and proposed method in this paper,the proposed method's effectiveness.
I am not confident that the improvements over the baseline are significant.,especially in broader applications.
\lambda. It is not clear why the authors chose \lambda=1 as their choice.,λ and its impact on performance.
"over uniform sampling on the Yahoo dataset, the paper does not discuss it.","for all datasets, which raises questions."
"parts. First, the discrimination can propagate from input to output (Theorem 1). Second, the iterated mean aggregation feature imputation algorithm can exaggerate the input discrimination (Theorem 2).",The propagation effect can break into two main components: the graph structure and the rate of unknown features.
across groups in each iteration. The algorithm can provably satisfy epsilon-fairness.,by projecting imputed features onto a feasible space with low discrimination risk.
"between utility and fairness, which is expected.",between fairness and reconstruction error.
intuition behind the fair graph feature imputation algorithm.,intuition behind the choice of the ϵ parameter.
"addresses a very relevant topic, i.e., multi-fidelity RL, that emerges in several real-world applications.",proposes a novel multifidelity reinforcement learning framework that leverages control variates to reduce variance in policy evaluation.
setting. The theoretical evaluation is novel and succeeds in showing some advantages of the proposed approach (although I have some concerns that I will detail below),"reinforcement learning domain, which has not been extensively explored before, making this a valuable contribution to the field."
"as a bias on the expected reward (so, it is not a correlation in the statistical sense). Consequently, in order for the approach to make sense, it must be that the reward is stochastic given the current state and action. It seems that the approach cannot be applied to rewards that are deterministic functions of the state-action pair. Indeed, in such a case, there would be no correlation. Requiring correlated reward random variables seems quite restrictive in my view. Can the authors elaborate on this point?","as a hierarchy of models with increasing accuracy and cost, whereas in this paper, the fidelity is treated as a probabilistic correlation between the low- and high-fidelity environments, which is a more flexible and generalizable approach."
"large (assuming that the cost of collecting samples in low-fidelity is negligible), it represents a further source of uncertainty that will impact the computation of all the relevant quantities. Moreover, in the control variate, the covariances and the correlation coefficient are estimated from samples as well. Are these further sources of uncertainty accounted for in the theoretical analysis of Section 3.3?","large enough to approximate $Q^{lo}_{\pi}$ accurately, this introduces additional computational overhead, and the trade-off between the number of low-fidelity samples and the overall efficiency of the algorithm should be carefully considered."
"the paper is currently borderline. I would appreciate it if the authors could clarify the concerns about the formulation of the fidelity (i.e., the correlation between the random variables).",the paper could benefit from further validation in more diverse and complex real-world environments to fully demonstrate the scalability and robustness of the method.
"and an improved hybrid method, as well as some understanding of why beam search approaches are worse. The paper is well written overall, though the explanation/motivation of the proposal distribution could be made clearer.","They also provide a framework, baselines, and propose novel methods for efficiently answering such queries."
know they usually assume some parametric form for the underlying probabilistic model / hazard function / etc. that is easier to work with. For neural models there is less structure to work with.,"but as far as I can tell, the specific application to neural sequence models is novel."
"combines the two for mutual benefits, using importance sampling to estimate the gap between the beam search lower bound and the true probability.",and proposes a hybrid approach that nicely balances the strengths of both.
"interactions, usage records) and models (LSTMs, GPT2 (which one?) ).","user behavior, and language datasets)."
improves existing regret bounds that have been compared.,achieves state-of-the-art results.
"ingredients, e.g., contraction property of MWU mapping.",techniques and insights.
a new decentralized multi-agent online learning algorithm.,efficient and practical.
and all claims are justified via proofs.,and easy to follow.
implementation which is important for online multi-agent game learning.,learning approach to game theory.
of time average of history. This goes beyond the standard metric in learning games.,of relying on uniform time-averaging.
the existing methods. This is an important advance in learning normal form games.,previous state-of-the-art algorithms.
the technical steps are easy to follow.,sections are well-structured.
propose a new metric for measuring the quality of attacks/defenses.,provide a comprehensive analysis of the current state of GNN defenses.
"include global/local attacks under evasion/poisoning setting, can break several representative defense GNN models.","are tailored to specific defenses, significantly reduce the robustness of GNN models."
proposed robustness unit test set is useful for evaluating new defense models.,methodology is well-documented and can serve as a useful reference for future research.
"millions of nodes) is very important, as it may reveal more realistic lessons and guidelines. Note that there are a few scalable defense models such as [2].",hundreds of thousands or millions of nodes) would provide more insights into the scalability and generalizability of the proposed methods.
"Networks for Web-Scale Recommender Systems"", KDD'18. \","Networks for Web-Scale Recommender Systems."""
"Graph Neural Networks at Scale”, NeurIPS'21.","Graph Neural Networks."""
a novelty method to boost robustness of barely robust learners. The theoretical results are quite solid.,a novel boosting algorithm for barely robust learners.
since it provides another way to study the robustness.,advance the understanding of adversarial robustness.
help understanding the spirit in the algorithms and proofs.,boost robustness using black-box learners.
"verifying robustness for a general perturbation set and a general hypothesis class**. As stated in [1], the popular method random smooth might fail in verifying the $\ell_\infty$ robustness for high-dimensional images. So the realizability of the proposed algorithm highly depends on the development of robust verification.","certifying robustness efficiently, which remains an open problem in the field of adversarial learning."
"$\ell_\infty$ Robustness for High-Dimensional Images."" J. Mach. Learn. Res. 21 (2020): 211-1.","robustness for certain perturbation sets."""
on well-known competitive benchmarks.,+ Good experimental results are demonstrated across multiple datasets.
explaining what each of the several modules does. Figure 2 is particularly helpful.,"+ Although the method is complex, the paper does a good job of explaining the components clearly."
it would be very hard to reproduce the reported results using the description provided in the paper.,+ Authors promise to share code. This is very helpful because the method is quite complex and will aid in reproducibility and further research.
complex. There are several modules involved.,- The proposed method is quite sophisticated and may require careful tuning.
method is. Both training and inference times need to be provided in the updated manuscript.,- No runtime information is provided. It is hard to tell how fast/slow the method performs in real-world scenarios.
online federated multi-kernel learning algorithm. And numerical simulations show the advantages over other federated multi-kernel learning algorithms.,multi-kernel learning model for each client.
and supports their proposed algorithm well.,and well-supported by the provided proofs.
that the paper achieves personalization via kernel subset selection. One may think the contribution is not very large.,the personalized kernel selection mechanism that reduces communication and computational costs.
authors should cite and compare their algorithm with other personalized federated learning papers in the absence of multi-kennel learning.,authors should include more recent works on personalized federated learning for a more comprehensive comparison.
"algorithms in datasets like MNIST, FMNIST, CIFAR-100, and even IMAGENET. The current datasets have small features.","types of datasets, especially those with varying levels of heterogeneity, to better showcase the algorithm's robustness."
classifiers is an intriguing idea. Doing this with a self-supervised backbone is also carefully considered.,is an effective strategy that allows the committee to gradually become debiased and focus on more challenging samples.
be dominated by bias-guiding samples especially in long-tailed datasets,"capture all bias-conflicting samples, leading to potential gaps in the debiasing process."
bias-conflicting samples. Higher enrichment can possibly be achieved due to other factors as well?,"bias-conflicting samples as clearly as claimed, and could benefit from more detailed visual evidence."
especially for demonstrating its motivation in the introduction session.,with clear explanations of the proposed methodology and its contributions.
both comparing with previous methods and ablation studies.,demonstrating the effectiveness of the proposed approach.
"is also important. I'm curious about whether the DETR-based framework can run as fast as, at least not slower too much compared with previous SOTAs.","is crucial, and a detailed comparison of inference speed and memory usage would strengthen the paper."
the two modalities to help readers get a deeper understanding on how the visual information from the two sources is well selected and utilized.,both modalities to better illustrate the interaction between LiDAR and image representations.
upon the state of the art.,in the utility bounds for private non-convex ERM.
relevance in differential privacy and machine learning.,importance in privacy-preserving machine learning.
"wonder whether the shuffling is necessary at all: I suspect this can be circumvented using analyses of incremental SGD, such as Nedic, Bertsekas (Incremental subgradient methods for nondifferentiable optimization, SIOPT 2001).","would appreciate further clarification on how the random reshuffling interacts with the privacy guarantees, especially in the context of momentum-based updates."
"be marginal, compared to existing literature.",be significant in terms of both privacy and utility.
to understand the out of sample performance of the algorithm.,to see how the sensitivity-reduced analysis improves the noise addition process.
"this fact in its presentation. The main difference between the current submission and past work is that in the current paper this is analyzed for multiple passes on the data, which adds another layer of complexity into the analysis.","sufficiently on how its contributions differ from or improve upon these existing methods, which could be a missed opportunity for positioning the work more clearly."
some small inconsistencies which make reading difficult.,minor grammatical errors that should be addressed.
"can help to solve these problems may greatly benefit our community. The mathematical analysis seem extensive and sound though I didn’t check the proof in the supplementary material. Experimental results also show that the proposed NSD model performs better especially in heterophilic graphs, which is in alignment with the theoretical findings.",The corresponding theoretical results about how a proper choice of the sheaf structure can mitigate these issues are well-supported by the mathematical framework provided in the paper.
"structure can affect model’s separation power. In addition, it appears that the theoretical results in Section 3 about the properties of harmonic space are only of analysis interest and their connection with rest of the paper is somehow loose. I suggest the authors to move some of the details to appendix or explain more about their connections if they are indeed crucial.","Since it is very likely that most of the interested readers from the graph learning community are not familiar with sheaf theory (or differential geometry and algebraic topology), the readability of this paper would improve greatly to add more intuitive explanations on abstract theoretical results, e.g., regarding why change of sheaf structure impacts the diffusion process and how it relates to practical graph learning tasks."
questions regarding the implementation and experiments.,"For instance, the computational complexity seems to be large, which scales with the stalk dimension as O(d^3)."
"for training as the authors pointed out, the scalability problem may still remain when in comes to making predictions in the inference stage.","Additionally, the paper seems to be missing a baseline, i.e., SheafNN [1], the predecessor of the proposed NSD."
"also claimed that the proposed NSD is more powerful than SheafNN, so to what extent can NSD empirically outperform SheafNN?","Furthermore, the authors claimed in Section 4 that higher stalk dimension and more complex restriction maps indicate better separation power."
"translate into better ability to handle heterophily? If this is the case, how does the performance of NSD change with increasing d and restriction map complexity?",It would be useful to see more discussion or experiments addressing this point.
"with stalk dimension in the table captions? (p.s., ‘3.51 ± 5.05’ in the table seems to be wrong?)",Clarifying the role of positional encodings in the context of sheaf learning would strengthen the paper's narrative.
In NeurIPS 2020 Workshop.,[1] Sheaf neural networks should be cited and discussed in more detail to provide a clearer lineage of the work.
"modeling, and the authors extends Pix2Seq model to learn 4 specific tasks in COCO datasets.","modeling, which has shown great potential in both NLP and vision tasks."
training objective and model architecture design.,architecture by unifying multiple tasks into a single framework.
(although the text prompt is pre-defined). This helps create a friendly user interface to access the model.,"across different tasks, making it flexible and adaptable to various vision and vision-language tasks."
"research line unifying different computer vision tasks. The proposed model shows great potential for the ambitious goal of the all-in-one design; however, I also have several concerns about this paper, and they are listed below.","direction in multi-task learning, where a single model can handle diverse tasks without the need for task-specific architectures or loss functions. This could lead to more general-purpose models that are easier to scale and adapt to new tasks, potentially unlocking new capabilities in artificial intelligence. Furthermore, the unified approach could simplify the development of models for new tasks, reducing the need for specialized engineering and enabling faster iteration and experimentation."
"task, many other vision problems developed in the community are not clearly addressed. While it is really an open research question, the title of this paper ""A Unified Sequence Interface for Vision Tasks"" is indeed overclaimed. I would suggest rewrite as ""A Unified Sequence Interface for COCO Dataset"" to better reflect what you have proposed and what you have done in the paper.","task, the generalizability of this approach to other vision tasks remains an open question. For example, tasks like depth estimation, optical flow, or 3D reconstruction may not naturally fit into the sequence modeling framework. Additionally, the tokenization of spatial information into discrete sequences may lose some of the fine-grained details necessary for high-precision tasks. Therefore, further exploration is needed to determine the full potential of this approach in the broader computer vision domain."
"authors didn't include other popular V+L tasks such as image-text retrieval and visual question answering as they are commonly evaluated in the foundation model literature. Similarly, there are many popular pure vision tasks ignored in this paper, such as image/video recognition, NeRF, etc. Overall, this gives the impression that the task unification is achieved just because of a careful selection of downstream tasks in the experiments.","authors chose these specific tasks as 'core' and excluded others like depth estimation or optical flow. The inclusion of image captioning, a vision-language task, raises questions about the scope of the model. Is the goal to unify vision tasks, or to create a more general vision-language model? Clarifying this distinction would help in understanding the broader applicability of the proposed approach."
"here is probably about unifying 3 selected pure vision tasks. However, pioneer works (such as MaskRCNN, HRNet, and others) already unify the three tasks very well. It is unclear what is the advantage of the proposed method (i.e., using the sequence modeling for the three tasks).","here is the ability to handle both vision and vision-language tasks in a single model. However, without a direct comparison to state-of-the-art vision-language models like CLIP or Flamingo, it is difficult to assess how competitive the proposed method is in the broader context of vision-language unification."
critical to the selected 3 tasks. The motivation of using sequence modeling for the three tasks is somewhat weak.,"crucial for tasks like instance segmentation and keypoint detection. The tokenization process may lose important spatial details, which could limit the model's performance on tasks requiring precise localization."
"and instance segmentation at the same time with just a single forward-pass, but in this paper, the inference cost could grow linearly to the number of people. The inference interface is kind of restricted: (1) only a single task is supported at a time; (2) it predicts token-by-token slowly.","and keypoint detection in parallel, whereas the proposed method requires sequential token generation, which could be a bottleneck in real-time applications. This trade-off between flexibility and speed needs to be carefully considered, especially for tasks that require fast inference."
"this paper, the tasks considered require fine-grained annotations, and thus they do not have large-scale pre-training data (except for image captioning). For the considered downstream dataset, it is unclear if single-objective is more effective than multi-objective training.","this work, the authors use a task-specific weighting scheme, which requires careful tuning and may not scale as easily to a larger number of tasks. This could limit the scalability of the approach when applied to more diverse datasets or tasks."
"paper integrating a few known components together to achieve an expected ""okay"" performance. Considering the technical novelty, the contribution of this paper is relatively weak.","demonstration rather than a fully optimized solution for the tasks at hand. While the unification is conceptually appealing, the practical benefits over specialized models are not yet fully realized."
"current paper content, it is difficult to reach a conclusion at this point.","current limitations in task performance and efficiency, further research is needed to fully unlock its potential."
for the paper. The experiments are very well organized and support the advantages of the proposed method. Previous works are also sufficiently addressed.,"Especially, the comparison between QAT and PTQ in Section 2.2 provides good motivation for the proposed approach."
"linear annealing schedule is reasonable, and the authors sufficiently support the necessity of the teacher forcing by experiments.",The method effectively mitigates the propagation of reconstruction errors across modules.
"There is some novelty in this work, but the improvements are somewhat incremental yet practical. Furthermore, there is no comparison between MREM and BRECQ in the Tables.","The novelty of the proposed method lies in the parallel training strategy and the use of annealed teacher forcing, which differentiates it from BRECQ."
applicable and significant to a broad variety of downstream problems,recognized as a challenging problem.
"results, with 100*K dimensionalities",results are demonstrated.
clearly nontrivial for variational inference settings,particularly insightful.
are clear to PPL readers,are well-presented.
unclear to readers without probabilistic ML background,helpful for future research.
between performance and efficiency on GPU-like devices for semantic segmentation task.,between performance and efficiency on GPU-like devices.
global context for improving semantic segmentation by utilizing attention deeply without lost of efficiency.,global context for improving semantic segmentation performance.
"In addition, it provides a new perspective for practice on real-time semantic segmentation task.",It also demonstrates competitive results on COCOStuff.
design. This paper is incremental compared with previous work DDRNet. The novelty of this paper is limited.,architectures for capturing long-range dependencies in dense prediction tasks.
"1, the mIoU score and FPS improvement are both limited, not obvious enough.","2, the mIoU improvement is marginal compared to some CNN-based methods."
"the method is simple and not novel enough. In addition, why not apply this method to other vision tasks, like classification, object detection.",the model's performance on edge devices with limited computational resources is not fully explored.
"performance evaluation. However, I have some concerns (about the weakness) as follows.",a well-structured approach to addressing the challenges of on-device training on tiny IoT devices.
"true acceleration of sparse computing relies on specific chips. So I am interested in whether the proposed methods can generalize to other commodity devices (e.g., extending to the NVIDIA Jetson or a mobile phone’s neural chips, not just the specific STM series).",authors should provide more details on the hardware compatibility and potential limitations when deploying the proposed solution on different microcontroller architectures.
limited epochs on downstream tasks. What about the performance of segmentation and detection tasks?,"a limited set of vision datasets, which may not fully represent the generalizability of the approach."
"lifelong learning. Can this method train from scratch, instead of fine-tuning the pre-trained models?","learning, especially for applications requiring continuous adaptation to new data."
present the performance of the training/inference speed or time cost when applying to the downstream tasks.,"discuss the trade-offs between training speed and accuracy in more detail, especially in real-time applications."
paper are very extensive and great.,"paper are extensive and well-executed, providing a large-scale comparison of algorithms across numerous datasets."
"datasets, which cover the majority of recsys datasets","datasets, which is a significant number for a study of this scale."
good results with supplementary materials,detailed results and additional insights that complement the main findings of the paper.
going to release the source code for reproducibility,"releasing their code and pretrained models, which will be useful for practitioners and researchers alike."
"previous works [1, 2, 3]. Thus, in my opinion, this work is great as a survey paper, but the contributions are incremental and not novel enough.","previous works, particularly in the context of algorithm selection and the dependency of performance on datasets and metrics."
see much difference in the performance of [4] compared to RecZilla according to Table 3.,see a significant departure from that work in terms of novelty.
"the authors also used the implementations from [1, 2]. Any specific reasons to discard the deep learning approaches such as GRU4Rec, etc?","the exclusion of more recent deep learning methods limits the scope of the study, especially given their growing importance in the field."
as well since we only focus on one single metric and optimize for that metric?,"towards a specific metric, potentially overlooking other important performance indicators?"
"instead of “aare”, missing related work [3]",should be corrected to 'is'.
Worrying Analysis of Recent Neural Recommendation Approaches. RecSys 2019.,critical review of recent advancements in recommender systems.
progress in recommender systems research. TOIS 2021.,the challenges faced in recommender system research.
We Really Know About Recommendation Datasets?. WSDM 2022,datasets influence the performance of recommender systems?
Survey and New Perspectives. ACM Computing Surveys 2019.,comprehensive survey of recent advancements and challenges.
algorithms using Collaborative Filtering. RecSys 2018.,algorithms using meta-learning techniques.
"believe the authors could emphasize more on this perspective in subsequent versions to make the contributions become more interesting. For example, how the researchers and practitioners benefit from this work? Any insights from practical perspective?","would have expected more emphasis on practical insights or novel methodologies that go beyond existing work, especially in terms of algorithm selection and hyperparameter tuning."
the introduced coordination hierarchy with QMIX and QPLEX as special cases is interesting and novel in my view.,the proposed QSCAN framework introduces a novel hierarchical structure that generalizes previous methods by incorporating sub-team coordination patterns more flexibly.
"> 2$ teams feasible. Regarding the claim about focusing on local coordination, I recommend to evaluate in SMAC scenarios with > 10 agents like ``bane_vs_bane`` rather than ``2c_vs_64zg``, where the single sub-team is obvious.",greater than 2 difficult to assess in terms of scalability and generalization to larger agent teams.
"because the plots are too small, making it very hard to follow the descriptions in the text.","in detail, but the overall explanation of the self-attention mechanism is clear and intuitive."
"number of training runs. The error/deviation bars in Table 2 regarding the SMAC results are missing. Thus, I cannot assess the significance of the results.","computational complexity or runtime performance of the proposed methods, which would be important for practical applications."
named differently from its actual framework as it is not obvious that QSCAN is used in different contexts in the same parapgraph.,introduced earlier to avoid confusion and provide better context for the reader.
\rightarrow \mathbb{R}$ denotes __the__ global reward function,should be properly defined to ensure clarity in the mathematical formulation.
to read when printed (the white texts in Figure 4 are completely unreadable),"to read, making it difficult to interpret the results effectively."
are just two approaches: QMIX and QPLEX,should be specified to provide a clearer comparison with existing methods.
"Factorization with Variable Agent Sub-Teams"", NeurIPS 2021","Factorization for Sub-Team Coordination in Multi-Agent Systems""."
model spatio-temporal is novel and efficient., + Using object tokens to directly represent objects across frames is an innovative approach.
"In addition, the authors also provide the code to reproduce."," + This paper is well written and easy to follow, with clear explanations of the proposed method."
demonstrate the effectiveness of the proposed method., + Experiments on the VIS benchmark demonstrate the effectiveness of the proposed method.
"tracking, and video instance segmentation. This paper provides a new perspective for such areas."," + Long-range video understanding is a crucial topic in video object detection, multi-object tracking, and segmentation tasks."
previous SOTA method SeqFormer. I would like to see the results using image instance segmentation as the same as SeqFormer.," + Since this paper uses Mask2Former as image instance segmentation, thus it is not fair to compare with the methods that do not leverage such strong image-level detectors."
"of different frames may not be equal. Thus, an alternative way is to use part of object queries to ensure each frame has an equal number of queries."," + Using all image queries may be redundant. So, I suggest abandoning background queries and only using foreground queries for such video instance segmentation tasks. The number of queries can be reduced to improve efficiency without sacrificing performance."
to have good reference value for practitioners.,well-justified in its theoretical foundations.
and compared to prior art to demonstrate its effectiveness.,and demonstrates strong performance and efficiency.
the paper requires some clarification.,the paper could be clearer.
written and easy to read.,The paper is well written and clearly structured.
This paper raises the issue and makes the attempt to addressing it.,"Robustness of autonomous driving algorithms should be paid more attention to, especially in real-world scenarios where sensor failures are common."
is achieved on both normal and robust settings of nuScenes.,Thorough experiments are performed. Claims are well-supported. SOTA performance is achieved across multiple benchmarks.
it easy to use any camera or LiDAR framework.,The clean design of the framework makes it easy to generalize to other architectures.
"itself. For example, by analyzing how would the fusion module work when facing incomplete LiDAR or camera inputs, we might gain some insights into the module design of CSF and AFS.","It is nice to see a simple yet effective module (dynamic fusion module) being proposed. But it would be nicer to provide some insights and analysis into the design choices, such as why certain fusion mechanisms were selected over others and their impact on performance."
"inference time and memory footprint, and its comparison with other methods.","The experiments section does not provide runtime analysis, like inference speed or computational cost."
