True Sentences,Generated Sentences,Precision,Recall,F1 Score,Edit Distance
the fairness properties of payoff flows for fair allocation are interesting and allow to address both budgeted and non-budgeted settings. the scheme based on payoff rewards is limited to non-constrained problems but it is simpler to understand. the presentation of both types of allocation schemes allows to understand well the advantages and drawbacks of either approaches.,it presents a comprehensive approach to fair reward allocation in collaborative machine learning.,0.88720596,0.83472323,0.8601648,307
"paper is not very clear: how do the properties defined in the paper differ from classical axioms of cooperative game theory? this is important because the paper is not technical, and its main interest thus lies in the conceptual framework studied.",proposed allocation scheme is significant as it addresses both fairness and budget constraints effectively.,0.86557865,0.8387641,0.8519604,190
"of the same ideas are already used in survival analysis for estimating the monotonically decreasing survival probability function over time (e.g., kvamme and borgan 2021, although the same ideas in parameterizing the monotonic survival function appear in earlier papers, some of which are referenced within kvamme and borgan), where standard neural net training procedures suffice. one could perhaps view the proposed hll method as a generalization of what is already done in survival analysis that does not need a specialized training procedure (although really i'd be surprised if the same ideas used by survival analysis researchers haven't already been used by researchers in other fields that need to enforce monotonicity). that said, i think a paper that neatly shows that there's a general idea that subsumes existing approaches is valuable.","the proposed hierarchical lattice layer (hll) builds upon the existing tl lattice framework, addressing specific limitations such as memory consumption and the need for complex training algorithms.",0.8561415,0.81080973,0.8328592,706
at times to be more complicated than it needs to be. i would suggest adding a simple running example (could be very low-dimensional) throughout the paper that already clearly shows why the proposed method clearly works and we really don't need a specialized training procedure.,the authors effectively outline the motivation for partially monotone regression and provide a comprehensive comparison between hll and tl lattice.,0.84561646,0.8280581,0.8367452,210
helpful relating the proposed method to possibly special cases of how people have previously enforced monotonicity without resorting to specialized training procedures (i mentioned already that this is done in survival analysis but i'd assume that it's also done in other fields too).,"additional experiments could strengthen the argument for hll's effectiveness, particularly in diverse application scenarios.",0.8647196,0.8174616,0.8404268,220
"between using ""citep"" and ""citet"" for references (currently, the paper basically uses the equivalent of ""citet"" too often so that the text suddenly switches to author names in a manner that is not grammatically correct and detracts from reading the paper). as a few examples:",ensuring that references are listed in a consistent and appropriate order will enhance the paper's professionalism.,0.8698006,0.82838464,0.84858763,200
"you use ""citep"", you would get: ""for example, they have a better regularization capability [dugas et al., 2000; fard et al., 2016; you et al., 2017] and better interpretability [gupta et al., 2016], and they can be used for fair machine learning [wang and gupta, 2020].""",a clearer distinction between hll and other methods would help readers appreciate the novelty of the approach.,0.851109,0.77881396,0.8133581,214
"in the paper is novel per se, although it can be considered an application of the control-variate techniques to the multi-fidelity setting. the theoretical evaluation is novel and succeeds in showing some advantages of the proposed approach (although i have some concerns that i will detail below)",is novel as it introduces a multifidelity estimator that leverages the correlation between low- and high-fidelity data to enhance the performance of reinforcement learning agents.,0.86649114,0.8430155,0.85459214,212
"the reward random variables collected in the high-fidelity and low-fidelity environments in the same state are correlated in a statistical sense (i.e., with a non-zero correlation coefficient). this is quite different from the usual idea of fidelity in multi-armed bandits (e.g., ""kandasamy, kirthevasan, gautam dasarathy, barnabas poczos, and jeff schneider. ""the multi-fidelity multi-armed bandit."" advances in neural information processing systems 29 (2016)."") in which the fidelity is represented as a bias on the expected reward (so, it is not a correlation in the statistical sense). consequently, in order for the approach to make sense, it must be that the reward is stochastic given the current state and action. it seems that the approach cannot be applied to rewards that are deterministic functions of the state-action pair. indeed, in such a case, there would be no correlation. requiring correlated reward random variables seems quite restrictive in my view. can the authors elaborate on this point?","the low- and high-fidelity state-action value functions are correlated, allowing the agent to effectively utilize low-fidelity data to improve its learning in the high-fidelity environment.",0.87789434,0.7983874,0.8362554,862
"compute the control variate, it is necessary to have access to the value of the true low-fidelity value function q^{lo}_{\pi}. this is not available in practice. the authors propose to collect a large number $m$ of return samples from the low-fidelity environment. although $m$ can be chosen to be large (assuming that the cost of collecting samples in low-fidelity is negligible), it represents a further source of uncertainty that will impact the computation of all the relevant quantities. moreover, in the control variate, the covariances and the correlation coefficient are estimated from samples as well. are these further sources of uncertainty accounted for in the theoretical analysis of section 3.3?","accurately estimate the state-action value function using the proposed multifidelity estimator, it is essential to have a reliable method for estimating the correlation between the low- and high-fidelity returns.",0.87454724,0.831165,0.8523044,551
"and the experimental results, although limited to one realistic environment (and some synthetic ones), show some advantages of the proposed approach, i think the paper is currently borderline. i would appreciate it if the authors could clarify the concerns about the formulation of the fidelity (i.e., the correlation between the random variables).","in its theoretical analysis and empirical validation of the multifidelity monte carlo reinforcement learning algorithm, demonstrating significant performance improvements over standard methods.",0.83833367,0.8261368,0.8321906,258
"against arbitrary perturbation on the adversarial nodes. in the pipeline, the certification is achieved by blocking the messages from the adversarial nodes. therefore, it can provide certification without restricting the perturbation magnitude on each node. this seems a realistic setting to me - in practical graph data settings, considering the number of adversarial nodes (users) is more important than considering the magnitude of adversarial perturbation on each node.",the proposed method provides a systematic approach to verify robustness against adversarial attacks by utilizing message-interception smoothing.,0.862146,0.83257425,0.8471021,378
"actually, a wide range of attacks on gnns will focus on edge-modification attacks (e.g. [a,b]). the paper does not discuss the applicability of their approach against this type of attack. actually, it feels to me that the proposed approach can still be adapted as long as both nodes of the edge are considered as adv nodes, although such a bound seems like a loose bound.","while the focus is on feature-based attacks, the method also lays the groundwork for future extensions to include structural attacks.",0.8810942,0.8371212,0.85854495,290
"applicable in practice. if i understand correctly, the exact certification provided by the algorithm is ""given a target node, the adversarial perturbation on a specific node set can/cannot be certified to be robust"", but not ""given a target node, we can allow arbitrary n nodes to be attacked"". the latter is a more useful certificate that can be achieved by previous approaches, while the current one is limited to a specified node set.","the certification results are indeed node-specific, which highlights the need for further research to generalize these findings across the entire graph structure.",0.85276294,0.81775403,0.8348916,331
"comparison of speed and memory between different methods. for the autonomous driving scenarios whether the model can run in real-time is also important. i'm curious about whether the detr-based framework can run as fast as, at least not slower too much compared with previous sotas.",clarity in explaining the advantages of the proposed modality interaction strategy over traditional fusion methods.,0.8714537,0.82880604,0.849595,215
"bilateral system is reasonable, it would be great to show some visualizations of the heat map of the features from the two modalities to help readers get a deeper understanding on how the visual information from the two sources is well selected and utilized.","deepinteraction architecture shows promising results, the paper could benefit from a more detailed analysis of its computational efficiency and scalability.",0.86702025,0.85753703,0.86225253,186
"build the network up to avoid stability problems appears to be novel for ssns. the approach of interleaving gradient optimization steps with the evolutionary steps also appears to be original. in addition, this appears to be the first practical method to train ssns without the constraints previous approaches required. however, the paper would benefit from a more detailed discussion of evolutionary approaches such as this (mentioned briefly in lines 246-248) as well as the previous attempts to train ssns (mentioned briefly in the introduction) to help the reader understand the literature landscape and the specific contributions of this paper.","this approach not only enhances the training process but also aligns closely with biological principles, making it a significant advancement in the field.",0.8645893,0.8295275,0.84669554,536
"appear to be sound. the approach seems to outperform the previous method on the existing task (though see questions section below for concerns about the explanation of this setup). the approach was also used for a more challenging task of optimizing the gsm on cifar-10 images. however, clarity issues related to the explanation of the comparison for this task currently make the claims of improved performance on this task hard to evaluate (see detailed questions concerning this below).",the authors effectively demonstrate the robustness of their method through comprehensive experiments and detailed analysis.,0.87225163,0.8256035,0.8482867,394
"but various typos in the text and equations do make it less smooth to read at times. see the questions section below for some specific examples, but thorough proofreading would help the presentation. in addition, as mentioned in the quality section above (and in more detail in the questions section below), there seem to be important details related to the experiment setup that are missing which makes it confusing and hard to evaluate the empirical claims.","however, some sections could benefit from additional explanations or examples to enhance understanding for readers less familiar with the topic.",0.8758479,0.83874786,0.8568964,360
effectively train ssns at scale could have an important impact on the computational neuroscience community. i think this paper makes a step in that direction. the ideas of incorporating gradient-based optimization along with potential topological changes during training could be of interest to the broader machine learning community.,this work opens new avenues for exploring the dynamics of neural computations in a biologically plausible framework.,0.8726838,0.8501806,0.8612853,264
"gaussian posteriors could be a limiting factor, even if we are working in function-space. for example, a recent work [pleiss and cunningham, 2021] on the behaviour of wide parametric (and non) models seems to suggest that the limiting gaussian posterior performs worse than the bnn/dgp posterior. this is common for all variational inference methods in function space with gaussian posterior, but i would still appreciate a comment from the authors on this.","this framework allows for a more flexible specification of priors and variational distributions, which can lead to improved uncertainty quantification.",0.86377597,0.8187978,0.8406857,360
"is a bit limited (with nonetheless interesting results). my only concern is on the comparison with other methods, given that those numbers have been copied from various papers. did you use the same models, same architectures, and same setup?","the results indicate that gwi-net not only outperforms existing methods in terms of predictive accuracy but also provides meaningful uncertainty estimates, showcasing its practical applicability.",0.849129,0.83986795,0.844473,180
"dsol [1] and ier [2]. they are neither compared nor even discussed/cited in the paper. in particular, dsol [1] targets to solve the discriminative sounding object localization in multi-sound scenarios **as well as coping with the silent objects**. they suppress those silent but visible objects by multiplying the audio category probability distributions to the visual object distributions, hence those silent objects will not take effect. besides, dsol **also propose a manner to effectively evaluate the sound localization performance**. they create a 2x2 grid, with two sounding objects and two silent objects to evaluate ciou and nsa (non-sound areas). if the model mistakenly localize the sounds to the silent regions, both the ciou and nsa will perform poorly. in ier [2], the authors propose to not only deal with the in-the-scene silent objects, but also suppress the off-screen background noise by cross-modal matching. all these two methods are proved to successfully solve the silence problem in the sound localization. however, the authors claim that this is an unsolved problem and it constitutes a very important observation and contribution of this paper.","the authors fail to acknowledge significant contributions in the field, such as recent advancements in audio-visual learning and localization techniques that could provide a more comprehensive context for their work.",0.8497689,0.7979472,0.82304317,998
"the overfitting problem, the authors propose to add more dropout to the visual features and perform the ema update on the encoders. however, these are all very basic tricks and couldn't independently serve as a novelty or contribution to the community. besides, the authors fail to very carefully analyze the effect of dropout or ways to prevent overfitting. why the dropout works? why other tricks that help to prevent overfitting won't work, like data augmentation, network parameter normalization, etc.","however, the approach lacks sufficient novelty as it primarily builds upon existing frameworks without introducing fundamentally new concepts or methodologies.",0.8566233,0.82798076,0.84205854,400
"as promised by the authors in the checklist, they will include code or data in the supplementary material. although the authors say that the dataset is too large to submit. the code is not included, which makes doubt the answer [yes] in the checklist and the re-producibility of this paper.",the absence of code limits the reproducibility of the results and hinders further exploration of the proposed methods by the research community.,0.87839353,0.8509468,0.86445236,215
"claim, contribution and novelty of the paper poor. the focused problem has already been solved, and the corresponding evaluation protocols have already been proposed, while they are not even discussed in the paper. this makes the main body of the paper meaningless. the left part is the method to solve the overfitting problem, which are quite trivial tricks to me. the authors fail to make their best efforts to delve into the phenomenon and analyze why such methods could alleviate the overfitting problem.",this oversight diminishes the paper's contribution to the field and raises questions about the thoroughness of the literature review conducted by the authors.,0.87403595,0.83983517,0.8565943,403
"very clear and solid. the model under study is simplified but more complicated than existing ones (i.e., random features model). while the proof strategy is mostly built upon existing ideas, the new challenge is the interaction between parameters $c$ and $\theta$. below is a more detailed assessment.",to be a significant contribution to the understanding of shallow neural networks in high-dimensional learning.,0.8600605,0.8158405,0.8373672,236
"structure is rather simplified. while i do not complain about useful simplification (which is standard in the literature), the title and abstract are rather misleading; for instance, it is not mentioned that the weights are tied, which is crucial for this work.","architecture proposed in this work effectively combines the strengths of both parametric and non-parametric approaches, demonstrating promising results in learning single-index models.",0.8483819,0.8362282,0.84226114,193
"such a data consistency step with pre-trained denoisers (which, as mentioned above, is very similar to diffusion-based reconstruction) has been proposed in [e] (and theoretically analyzed in follow-up works). such very related works should be mentioned.",this approach effectively stabilizes the reconstruction process and reduces errors that may accumulate during sampling.,0.8693292,0.8288103,0.8485864,185
"weak. for example, the recovery that is presented to some of them changes even the known pixels in inpainting. recoveries that do not utilize such known information are obviously weak. hence, it would have been interesting and informative to see comparison with strong (non-naive) gan-based reconstruction methods, such as [b] (obviously, with gans that are trained on the same training data as the other methods, e.g., by using common datasets and gans).","in contrast, the proposed method demonstrates robust performance across various tasks, including inpainting, colorization, and ct reconstruction, showcasing its versatility and effectiveness.",0.86398005,0.82799816,0.8456065,337
is to present some ad-hoc methods based on either kronecker product or the observation about batch normalization layers to improve the random subspace projection to find a better intrinsic dimension of the task of interest. it is then followed by a quantization technique to compress the model further to regularize the model of interest further according to the occam's razor.,this innovative method not only enhances model efficiency but also provides deeper insights into the relationship between model compressibility and generalization performance.,0.86395925,0.8271492,0.8451536,279
"evaludation is quite simple with a limited number of baselines (both tables 1 and 2). it seems that previous methods on non-vacuous pac-bayes bounds do not include results on several datasets, but it would make the paper more convincing if those methods could be reproduced and evaluated on the datasets of interest.","additionally, discussing potential limitations and future directions for research could provide a more comprehensive understanding of the broader impact of their work.",0.85409206,0.8190659,0.8362124,231
"to be more detailed. for example, when it is stated in the introduction that operators of the same type in each step are mutually exclusive, a restrictive description of the execution should be given to avoid readers' guessing.","additionally, the paper could benefit from a more detailed explanation of the training process and the rationale behind the choice of features used in the gnn model.",0.8708565,0.85588694,0.8633068,165
"calculation. the experimental results only compare the accuracy with the eds method (in section 6.1), emphasizing the improvement of the accuracy, and the final execution time is longer than that of eds. the paper lacks the analysis of the benefit ratio of additional computing device.","this gpu utilization allows for the processing of large cdfgs in a fraction of the time required by traditional ilp-based methods, making it a practical solution for real-time applications.",0.85320914,0.8415692,0.84734917,209
"three relatively small datasets with a relatively small number of new classes in each time step. also, the data splits for different time steps for the mi case vary a lot, which seems strange (as specified in the supplementary), why not adopt a consistent proportion for all? or perhaps more different proportions can be used? how the different classes in each time step are constructed? randomly sampling or predefined in some way?",it would be beneficial to include experiments on additional datasets to validate the robustness of the proposed method across various scenarios.,0.8593372,0.8187385,0.8385467,341
"incremented at each time step, how about incrementing more classes? say 20, 50? for more challenging cases, a larger dataset could be more useful. it appears that more different datasets are used in the literature, e.g, cifar10, imagenet, stanford-cars fgvc-aircraft in drncd [15].",expanding the number of classes in the experiments could provide a more comprehensive evaluation of the continuous category discovery framework.,0.8692589,0.8133938,0.84039897,211
"conducted on a smaller labeled set (183 images). however, i wonder how table 4-7 would look like when there are more labeled data, e.g., >1000/2000 labeled images, which can be a more practical situation in real applications.",a,0.8154001,0.7843884,0.79959375,224
"the teacher model performs better than the student model. it's interesting to know whether it is the same case for all experimental settings. if so, what is the intuition behind it? the authors may have more discussions on this.",n,0.81580305,0.79512936,0.80533355,227
"the existing methods for offline rl when they update the q-values for ensembles: from hindsight one really does not need to incorporate the pessimism into the function update procedure, but instead just apply pessimism during policy update. this also seems to agree to the theory rl algorithms: one can just perform the regular bellman updates (or perform elimination in version space algorithms) and define policy with lcb or take minimum over the remaining set of functions (for pessimism) (for example, [1]).",this insight is significant as it challenges established methodologies and provides a foundation for the proposed model standard-deviation gradients (msg) algorithm.,0.837469,0.8096528,0.823326,406
"be obvious under what kind of conditions such that in the ntk setting, using the shared target could result in optimism, the following subsection provides good evidence that that indeed could happen. it could be better to provide some more intuitive scenario or even a closed-form construction.","by addressing this flaw, the authors enhance the robustness of offline rl algorithms, particularly in challenging environments.",0.8654616,0.8251263,0.84481275,226
"provide very good intuition into the problems of the previous pessimism estimation in offline deep rl methods, but since the result is based on the ntk setting, it still has some gap between the practical situations.",they convincingly demonstrate that using independent targets in q-ensembles leads to improved performance in offline reinforcement learning tasks.,0.8556495,0.8437426,0.8496543,158
"input data and functional similarity is formulated as a linear regression model. although this simplicity may discard several more intricate structures, the deconfounded solution can be obtained by simply solving the normal equation. this formulation would be sufficient for the first step towards the deconfoundation.","this paper effectively highlights the confounding effect of input similarity on representation similarity measures, particularly cka and rsa.",0.8534939,0.8294994,0.8413256,241
"basically can be applied to any type of the existing representational similarity measures by applying the deconfoundation step. through the experiments, we can observe that adding this simple fix is beneficial to improving the performance in most cases.","the deconfounding approach is simple yet powerful, making it applicable to various similarity measures built on the cka and rsa frameworks.",0.87556994,0.87551224,0.8755411,190
"similarity could be made a little bit clearer. for example, section 4.3 provide the experiments to observe the correlation between the functional similarity and domain similarity, and section 4.4 to see the correlation between the functional similarity and ood accuracy. while these results may seem excellent, we would not immediately see what such a functional similarity brings us to improve transfer learning and ood generalization.",the authors convincingly argue that understanding the functional similarities of neural networks is essential for applications like transfer learning and meta-learning.,0.8754536,0.83301306,0.8537062,317
"two layers of given neural networks, not the entire neural networks. to measure the similarity between the entire networks, the authors simply average the layer-wise similarity through the experiments. whereas this works in some situations (for example, figure 2 tells us the averaged similarity is sufficient to distinguish random and fine-tuned resnet-18), i have a concern when networks are deeper; most of the high-level features are similar between two networks, and hence the layer-wise averaged similarity would not be sufficient.","by introducing deconfounded similarity measures, the authors provide a robust solution that enhances the reliability of functional similarity assessments across different domains.",0.8729081,0.8223463,0.8468732,414
"layer-wise loss normalization technique and several different approaches for learning such generative models (using various limiting simplifications, but overall very practical). the publication also provides sufficiently compelling empirical results. it is inspiring to see that trained generative models can capture the structure of the weight manifold and learn the set of sufficiently accurate neural networks, even capable of producing competitive model ensembles.",this method leverages a novel layer-wise loss normalization to enhance the quality of the generated models.,0.8931454,0.8454033,0.8686188,384
"be an invaluable tool for understanding the topology and properties of the weight manifold and it even shows some practical promise, but in its current form it appears to require a very significant computational investment for pre-training an ensemble zoo. this large computational cost could make it somewhat impractical for real-life applications.",this opens up new avenues for utilizing existing model zoos in various applications.,0.85643727,0.83424705,0.84519655,283
"use ""an invertible function"" from $\mathbb{r}^d$ to $\mathbb{r}^d$. i do not think that for $d>d$ such smooth invertible functions exist. in my opinion, the explanation in section 3.2.3 could be clarified and made more rigorous. it is not entirely clear to me how $d$-dimensional samples $n_i$ are mapped back to the $d$-dimensional space.",this method effectively addresses the challenges of high-dimensional sampling by mapping to a lower-dimensional space for improved sampling efficiency.,0.8744074,0.7935579,0.8320232,261
"connection between the forms of the various dynamics equations and the empirical results. for example, it would be nice to plot the predicted trajectories of the singular values against the actual trajectories. i still don't have good intuition for the behavior of the dynamics equations, so highlighting different regimes of behaviors would be helpful. for example, when the authors say that a term may accelerate convergence (line 168-9, 202), it would be helpful to describe (or give intuition for) the conditions under which such acceleration occurs, before jumping to the empirical demonstrations that acceleration is indeed observed. how does the convergence rate or error scale with effective rank of the underlying matrix (appendix experiment does not really answer this)?","the authors could enhance the clarity of their findings by discussing how the proposed penalty might influence other tasks, such as classification or regression, and whether similar depth-invariance effects could be observed.",0.85333025,0.8208991,0.8368006,627
"in limitations, the scope of their findings is fairly narrow. even though this is a theory paper, perhaps the motivation could be strengthened by noting that shallow networks are extremely fast and lightweight and thus could find use in applications where these attributes are important.",further exploration of this interplay could provide valuable insights into how different regularization techniques can be effectively combined to improve generalization in deep learning models.,0.85614437,0.84735703,0.85172796,211
"being examined. indeed, it is a little misleading in the sense that the paper's main results pertain to depth-1 and depth-2 linear networks, whereas the title writes ""deep networks"". imo the title should highlight that the authors develop a novel regularization method that is effective for shallow networks. the title also suggests that the authors design a novel implicit regularization scheme, whereas it seems that implicit regularization refers to an existing property of gradient-based methods (the tendency to favor low-norm solutions). it seems that this implicit regularization is innate to both sgd and adam, but it would be clearer if the authors instead highlight the property of adaptive optimizers that makes them more effective in the regime studied.","a more accurate title could reflect the focus on the explicit penalty and its effects on optimization dynamics, which would better align with the content and findings discussed throughout the paper.",0.86135805,0.8286019,0.8446624,626
"this paper is that the method seems incremental. particularly, all the core elements in this work can be stitched together from previous work (which itself would not be criticism per-se if there was novelty in the way the stitching together was done).",the authors should provide more detailed descriptions of the optimization steps and the rationale behind their choices.,0.86531126,0.826071,0.845236,185
"weights on a per-module bases, there are multiple related works that are not referenced. layer-adaptive weights are not uncommon in the multitask literature see section 3.2 of [3] which introduces an index k, for each layer.",this would strengthen the applicability of the method across various domains.,0.86860424,0.82320523,0.8452956,177
"[4], they use the primary task to learn a subspace within which they deconstruct the auxiliary task weights - this abstracts away the choice of parameter/block/model-l introduced in this paper - and represents an automated ""modularization"" approach",this would provide a clearer context for the advantages of their approach.,0.8781925,0.81153405,0.8435484,199
"contexts in a flexible way. this makes their framework applicable to not only scalar labeled data but more complex ones, like multi-label (actions) or soft labels (covariates). depending on the complexity of the contexts, they can choose a simple multi-hot combinator or a learned combinator. if using a learned combinator, they can generalize to unseen data. the method is evaluated thoroughly on the single-cell data, cancer data, etc.","this approach allows for a more nuanced understanding of how various treatments affect cellular responses, potentially leading to personalized medicine applications.",0.8613692,0.81879413,0.8395422,339
"of initializing icnn to be an identity map has been introduced in [1], especially the quadratic layer technique in denseicnn. 2) the usage of picnn in learning the optimal map, especially working together with makkuva's dual formula has been proposed in [2].",this innovative combination enhances the ability to capture complex relationships between unpaired cell populations before and after treatment.,0.8423563,0.79815924,0.81966245,194
"writing. the fundamental loss function and algorithm are postponed to the supplementary material. to me, this is not proper. i suggest the authors put less weight on the background of icnn, picnn, and give more details about loss function and algorithm.","the authors address this concern by providing closed-form solutions for parameter initialization, which is a significant contribution to the field.",0.86334634,0.8453703,0.8542638,187
"data from all $\nu_i $ (or $\mu_i$) into a combined distribution $\nu$ (or $\mu$), and learn the map between $\mu$ and $\nu$. if this is the case, when all $\mu_i$ are equal, the pushforward distribution by icnn ot map is fixed, which doesn't depend on the context. to me, this is an unreasonable baseline when all $\mu_i$ are equal. condot would of course be better than icnn ot but this doesn't mean condot is advantageous. i think a good baseline is to calculate icnn map for each $(\mu_i , \nu_i)$ pair. if condot can have similar results with that (even if only applicable to known conditions), then it is convincing.","in contrast, the proposed condot framework explicitly incorporates context information, allowing it to adapt and predict outcomes for novel drug combinations and perturbations effectively.",0.84081435,0.7737195,0.8058728,504
"though specific to recommender systems, can be very beneficial in a practical setting and valuable for all the industries attempting to train large recommendation systems under imperfect computing constraints. i would judge that the originality of the paper is high as, according to the authors, nobody has attempted to provide a hyperparameter tuning-free approach to the switching between synchronous and asynchronous training modes.",addresses the challenges of switching between synchronous and asynchronous training modes in recommendation models without the need for hyper-parameter tuning.,0.9234414,0.8585638,0.8898216,336
"is also high - it provides a clear overview, and outlines several important insights and observations on the performance of the training modes that help to determine and address the gaps in the current work. this provides clarity on the choices and explains the conducted experiments.","is commendable, as it presents a novel approach (gba) that enhances both the accuracy and efficiency of training recommendation models.",0.8765256,0.8712894,0.87389964,211
"well-written. i enjoyed reading it. the only problem that undermines the clarity is section 5.2 and more specifically, figure 6. i will outline my confusion in the questions section below. in summary, it seems that the methods in the figure and their performance do not correspond to the description in the text.","provides a clear explanation of the proposed method, supported by thorough theoretical analysis and extensive experimental evaluations.",0.8534635,0.8324939,0.8428483,239
"proposes an approach which is simple to understand and very general (allowing any architecture to be used for the various components e.g. encoders, decoders). furthermore, it appears novel to me, although i'm not familiar with the neural pdes literature.","the proposed latent evolution of pdes (le-pde) method introduces a unique way to model the dynamics of pdes in a low-dimensional latent space, showcasing originality in its approach.",0.8606514,0.83702374,0.8486731,187
"prevents the gradient to pass through to the boundary parameter $p$ such as continuous location."" i'm struggling to parse this sentence, though i think the point is that it's not possible to backprop through discrete variables.","this highlights the innovative application of latent evolution in the context of pdes, where the absence of clear object structures presents unique challenges that le-pde effectively addresses.",0.84838164,0.82544875,0.8367581,174
