True Sentences,Generated Sentences,Precision,Recall,F1 Score,Edit Distance
"the environment's simulator must be implemented in a very particular way. i might be missing something, but it doesn't seem like dials is a method that can be applied out-of-the-box to any relevant multi-agent environment; it puts strong constraints on how the system is simulated. for example, i'm assuming the environments they used in their experiments were implemented by the authors; at least the wording in line 291 seems to imply this is the case for the traffic control experiments, but nothing is said for the warehouse environment. more generally, i didn't see a lot of discussion of this point in the paper, which i would argue is an important omission.","this seems like not only a theoretical limitation, but also a strong practical one, as it means that environments that do not have a clear local structure may not benefit from this approach.",0.86029166,0.83465767,0.8472808,526
and one baseline being considered. some of the results are not necessarily intuitive and not a lot of discussion is offered (see my last main question below).,expanding the evaluation to include a wider variety of environments would strengthen the claims made in the paper.,0.86056966,0.83436406,0.8472643,116
"costs and effectiveness) is well-motivated by many practical domains, such as healthcare, manufacturing, and wildlife conservation. the technical work required to extend the problem setting in this way is significant since one must now account for how workers with different (arm/state-specific) expertise may interact (and influence arms' transitions) over time.",h,0.7977144,0.78061295,0.78907096,362
"is known by the decision-maker in the planning setting, the assumption that this additional level of information is available should be explicitly stated and justified by the availability/""learnability"" of this type of information within the domain(s) of interest. this will be particularly important in settings where there is heteroskedastic uncertainty about workers' intervention effects.",r,0.81080085,0.77687794,0.793477,391
defines the setting and assumptions before introducing the new solution,"the paper rigorously establishes a theoretical framework for continual learning, particularly emphasizing the feature extraction paradigm.",0.85322404,0.8635624,0.8583621,103
of the theoretical aspects involved in the continual learning process. a direction which is heavily unexplored in the cl community due to the difficulty of the topic.,"the work in this paper attempts to enhance our understanding of the limitations and capabilities of continual learning algorithms, especially regarding linear feature mappings.",0.8533908,0.85737836,0.85538,137
"correctly point out, there are several different settings in continual learning and their findings do not apply to all of them. it is particular important to be clear about it when providing negative results such the lower bound in sec. 5.","the authors generically refer to continual learning in various sections of the paper, but they clarify the specific challenges and assumptions that underpin their proposed methodology.",0.86446804,0.8496281,0.85698384,166
"get a good accuracy on the current task (l103) but it would be wrong otherwise. generally speaking, it would be more intuitive to see it expressed as a difference with the performance measured in the past on an observed task.","the definition of forgetting on l102 is valid due to the assumption that the learner will retain a fixed model size while adapting to new environments, which is a crucial aspect of their framework.",0.8511261,0.84196115,0.8465188,166
"in sec. 6 do not help. it is clear that the main contribution of this work is theoretical and the aim is not to outperform some continual learning baselines, but it would be beneficial for the community to understand how big is the gap between theory and practice.","it is challenging to grasp the potential practical implications of the findings in the paper, as the results are predominantly theoretical, potentially limiting their real-world applicability.",0.8767459,0.8616488,0.86913174,192
clear how much of a practical impact that is going to have. it would be interesting if the authors could discuss which realistic assumptions on the environments could provide a more favorable situation.,"sec 5 provides a lower bound on the error, but it lacks comprehensiveness to fully address the complexities associated with continual learning in non-linear feature settings.",0.85324806,0.8523358,0.85279167,148
"video-text retrieval task studied by this work is practical, and the proposed salient frame proposal mechanism seems simple and effective. extensive experiments are performed on video-text datasets and the experimental results are promising.",the paper effectively addresses the noise issue in video-language modeling by proposing a language-guided denoising network (lgdn) that filters out irrelevant frames.,0.85173416,0.864844,0.858239,173
"for example, in-depth comparison between salient frame proposal (sfp) mechanism and sparse sampling or other frame sampling techniques. also, some experimental results (e.g., effect of sfp mechanism) in supplementary material can be included in the paper.","while the authors provide some ablation studies, a deeper analysis of the impact of each component on overall performance would strengthen the validation of their proposed architecture.",0.8628706,0.8298099,0.84601736,189
"written in a clear and easy to follow manner, high clarity.",the paper is well-structured and presents a novel approach to mitigating posterior collapse in autoregressive vaes.,0.83526945,0.85293806,0.8440113,86
"novel and original, although extended a previous uniform sampling method.","the approach is innovative, utilizing an adversarial dropout mechanism to enhance latent variable learning.",0.8783053,0.87363845,0.87596565,81
"some new insights to the ""posterior collapse"" in terms of theoretical analysis.",the work provides a theoretical foundation for understanding the effects of dropout on information flow in vaes.,0.8796544,0.88040555,0.8800298,80
experimentation study which support the claims and proposed method in this paper,the work presents empirical results demonstrating improved performance on standard text benchmarks compared to existing methods.,0.8546988,0.85557675,0.8551375,98
"not completely clear to me, i am not confident that the improvements over the baseline are significant.",the significance of the work is underscored by its potential to enhance the interpretability and utility of latent variables in sequence modeling.,0.8515475,0.85173917,0.85164326,106
more in-depth analysis of the parameter \lambda. it is not clear why the authors chose \lambda=1 as their choice.,the ablation study is missing a detailed analysis of the impact of different hyperparameters on model performance.,0.8784765,0.8669461,0.8726732,89
"see improvement in kl of mi over uniform sampling on the yahoo dataset, the paper does not discuss it.","in table 1, we do not see a comparison of the proposed method against a wider range of baseline models.",0.88231844,0.86486006,0.87350196,81
allow to address both budgeted and non-budgeted settings. the scheme based on payoff rewards is limited to non-constrained problems but it is simpler to understand. the presentation of both types of allocation schemes allows to understand well the advantages and drawbacks of either approaches.,the fairness properties of payoff flows for fair allocation are interesting and provide a solid foundation for addressing the challenges in collaborative machine learning.,0.8692501,0.83512545,0.8518462,216
"defined in the paper differ from classical axioms of cooperative game theory? this is important because the paper is not technical, and its main interest thus lies in the conceptual framework studied.",how do the properties proposed in this work uniquely define the allocation scheme compared to existing methods?,0.87172425,0.85074306,0.86110586,147
clearly written. all the technical steps are easy to follow.,the paper is well-structured and presents a compelling argument for the necessity of adaptive attacks in evaluating the robustness of graph neural networks (gnns).,0.8369408,0.8633914,0.8499604,125
important problem. authors also propose a new metric for measuring the quality of attacks/defenses.,this work addresses a very important gap in the literature regarding the evaluation of gnn defenses against adaptive attacks.,0.8877467,0.8903235,0.8890332,91
"show how adaptive attacks, which include global/local attacks under evasion/poisoning setting, can break several representative defense gnn models.","authors have conducted extensive experiments to demonstrate that existing defenses are significantly less robust than previously reported, revealing a 40% overestimation in robustness.",0.8590153,0.845327,0.85211617,133
adaptive attacking are reasonable. the proposed robustness unit test set is useful for evaluating new defense models.,the lessons and guidelines for designing strong adaptive attacks are particularly valuable for future research in the field.,0.8882549,0.8840237,0.88613427,100
"applications (e.g., [1]) for attacking, evaluating attacks/defenses on large graphs (with millions of nodes) is very important, as it may reveal more realistic lessons and guidelines. note that there are a few scalable defense models such as [2].","authors only use two small datasets in experiments. considering the scale of real gnn applications, it would be beneficial to evaluate defenses on larger and more diverse datasets to validate the findings.",0.8665714,0.83908814,0.8526083,182
"""graph convolutional neural networks for web-scale recommender systems"", kdd'18. \","[1]: ying et al., provides a foundational reference for understanding gnns and their vulnerabilities.",0.8237487,0.8130882,0.8183837,81
for strongly robust learning and gives a novelty method to boost robustness of barely robust learners. the theoretical results are quite solid.,for boosting adversarial robustness through the concept of barely robust learning.,0.90491927,0.8776721,0.8910874,95
paper in significant since it provides another way to study the robustness.,study provide a theoretical framework that connects barely robust learning with strongly robust learning.,0.8715775,0.8703692,0.87097293,75
high-level strategies to help understanding the spirit in the algorithms and proofs.,insightful definitions and theorems that clarify the relationship between different levels of robustness.,0.87785476,0.8717639,0.8747987,76
"the proposed algorithm, but **to the best of my knowledge, there is now no theoretiacl gurantee for precisely verifying robustness for a general perturbation set and a general hypothesis class**. as stated in [1], the popular method random smooth might fail in verifying the $\ell_\infty$ robustness for high-dimensional images. so the realizability of the proposed algorithm highly depends on the development of robust verification.","the proposed boosting algorithm, as it directly impacts the ability to certify robustness efficiently.",0.8783191,0.8119271,0.8438192,354
"might be unable to certify $\ell_\infty$ robustness for high-dimensional images."" j. mach. learn. res. 21 (2020): 211-1.",is referenced to highlight existing methods that relate to the certification of robustness in machine learning models.,0.87770325,0.8095549,0.8422528,97
"the motivation is reasonable. the paper is supported by extensive experiments. considering that there is no unified comparison of the various methods for low-bit bert quantization, this paper is very timely. thank you for your hard work!","the authors present a systematic study of extreme quantization methods, providing valuable insights into the complexities of model compression.",0.8894919,0.86215043,0.8756078,172
"(finding 4), which can save huge training costs to obtain the final model. it is also good news that skip-bert shows comparable and even better results.",this finding challenges existing assumptions in the field and opens up new avenues for research.,0.8744117,0.8405253,0.8571338,103
"intuitions about why the phenomenon occurs for each finding. for example, for finding 1, how could longer training help to avoid sharp accuracy drop (or, falling into early local minima)? for finding 3, why da is especially important for small tasks such as cola and rte?",incorporating a theoretical framework or additional experiments could strengthen the claims and provide a deeper understanding of the mechanisms behind extreme quantization.,0.8574709,0.8249351,0.8408884,197
the main classifier to train committee classifiers is an intriguing idea. doing this with a self-supervised backbone is also carefully considered.,this process ensures that the committee becomes more effective in identifying and weighting samples that are difficult for the main classifier.,0.8752478,0.86580986,0.8705032,103
may not necessarily be dominated by bias-guiding samples especially in long-tailed datasets,this approach helps mitigate the risk of overfitting to specific biases present in the training data.,0.87769157,0.86401105,0.87079763,78
committee of classifiers focus more on bias-conflicting samples. higher enrichment can possibly be achieved due to other factors as well?,"instead, it highlights the necessity of employing a committee of classifiers to achieve a more reliable identification of bias-conflicting samples.",0.89964956,0.88698626,0.893273,115
"and easy to follow, especially for demonstrating its motivation in the introduction session.",and presents a clear and innovative approach to multi-modal 3d object detection.,0.86574507,0.87035847,0.8680457,66
sufficient and convincing for both comparing with previous methods and ablation studies.,thorough and demonstrate the effectiveness of the proposed method across various settings.,0.8858868,0.86273754,0.8741589,62
"autonomous driving scenarios whether the model can run in real-time is also important. i'm curious about whether the detr-based framework can run as fast as, at least not slower too much compared with previous sotas.","evaluation of the proposed deepinteraction architecture, it would be beneficial to include a detailed analysis of computational efficiency and memory usage compared to existing state-of-the-art methods.",0.8716711,0.84060395,0.8558557,172
some visualizations of the heat map of the features from the two modalities to help readers get a deeper understanding on how the visual information from the two sources is well selected and utilized.,more qualitative examples that illustrate the advantages of the modality interaction strategy in challenging scenarios.,0.897679,0.86850095,0.8828489,137
"under a transformer framework with sequence modeling, and the authors extends pix2seq model to learn 4 specific tasks in coco datasets.",by proposing a unified pixel-to-sequence interface that allows for the simultaneous handling of multiple core vision tasks.,0.8684989,0.86267626,0.8655778,98
it allows text-prompting to activate desired functionality (although the text prompt is pre-defined). this helps create a friendly user interface to access the model.,the authors effectively leverage these capabilities to create a flexible framework that can adapt to various tasks through prompts.,0.8839991,0.86313844,0.8734442,122
"competitive. in my opinion, the results are promising as it could initiate a new research line unifying different computer vision tasks. the proposed model shows great potential for the ambitious goal of the all-in-one design; however, i also have several concerns about this paper, and they are listed below.","competitive when compared to specialized models, demonstrating the potential of a unified approach.",0.8847164,0.8473723,0.8656418,239
"of the vision problems can be solved with such a sequence modeling. while the authors demonstrated promising results on 3 selected vision tasks and 1 vision-language task, many other vision problems developed in the community are not clearly addressed. while it is really an open research question, the title of this paper ""a unified sequence interface for vision tasks"" is indeed overclaimed. i would suggest rewrite as ""a unified sequence interface for coco dataset"" to better reflect what you have proposed and what you have done in the paper.","however, for computer vision tasks, it remains unclear whether most tasks can be effectively represented in this manner without losing critical information.",0.86585987,0.83620775,0.8507755,441
"tasks (detection, segmentation, human pose estimation), and additionally the authors consider a vision-and-language (v+l) task (i.e, image captioning). this introduces many concerns. it is unclear why the authors didn't include other popular v+l tasks such as image-text retrieval and visual question answering as they are commonly evaluated in the foundation model literature. similarly, there are many popular pure vision tasks ignored in this paper, such as image/video recognition, nerf, etc. overall, this gives the impression that the task unification is achieved just because of a careful selection of downstream tasks in the experiments.",this ambiguity raises questions about the generalizability of their approach to other vision tasks that may not fit neatly into their defined categories.,0.8592031,0.82352066,0.84098357,527
"provided. since image captioning has been well-studied in the unification literature in v+l field, the main new thing here is probably about unifying 3 selected pure vision tasks. however, pioneer works (such as maskrcnn, hrnet, and others) already unify the three tasks very well. it is unclear what is the advantage of the proposed method (i.e., using the sequence modeling for the three tasks).","but no comparison with v+l foundation models is provided, which could offer insights into the relative strengths of their approach.",0.86891705,0.8263202,0.84708345,314
"spatial relationship, and such spatial info is critical to the selected 3 tasks. the motivation of using sequence modeling for the three tasks is somewhat weak.","details in tasks that require precise localization and segmentation, which may limit the effectiveness of the proposed method.",0.87943643,0.86411095,0.8717063,119
"will be slow. for example, the bottom-up approaches in human pose estimation literature can perform both multi-person pose estimation and instance segmentation at the same time with just a single forward-pass, but in this paper, the inference cost could grow linearly to the number of people. the inference interface is kind of restricted: (1) only a single task is supported at a time; (2) it predicts token-by-token slowly.","however, due to the nature of autoregressive prediction, the proposed model may face slower inference times compared to specialized systems.",0.8582952,0.82633436,0.84201163,332
"loss function, so that it is easier and scalable when performing large-scale pre-training. however, in this paper, the tasks considered require fine-grained annotations, and thus they do not have large-scale pre-training data (except for image captioning). for the considered downstream dataset, it is unclear if single-objective is more effective than multi-objective training.","in nlp and v+l research, people use a single model to achieve significant improvements, which raises questions about the scalability of this approach in vision tasks.",0.86734176,0.8382788,0.85256267,291
"considered downstream tasks. this paper is more like a system paper integrating a few known components together to achieve an expected ""okay"" performance. considering the technical novelty, the contribution of this paper is relatively weak.",but it is not well-grounded to the practical challenges faced in real-world applications of computer vision.,0.8599184,0.83933485,0.84950197,181
"with large-scale pre-training. but given the current paper content, it is difficult to reach a conclusion at this point.","in terms of simplifying the architecture and training process for multiple vision tasks, but further research is needed to fully realize its potential.",0.8635485,0.87822586,0.8708254,110
"proposed, which achieves better trade-off between performance and efficiency on gpu-like devices for semantic segmentation task.",introduced to enhance the efficiency and performance of real-time semantic segmentation.,0.92798096,0.8924867,0.9098878,75
which can make full use of global context for improving semantic segmentation by utilizing attention deeply without lost of efficiency.,which effectively integrates gpu-friendly attention and cross-resolution attention for improved context modeling.,0.8945684,0.8790976,0.88676554,94
"and show promising performance on ade20k. in addition, it provides a new perspective for practice on real-time semantic segmentation task.",demonstrating superior speed-accuracy trade-offs compared to existing methods.,0.8426927,0.84764415,0.84516114,102
"self-attention, which is widely used in network design. this paper is incremental compared with previous work ddrnet. the novelty of this paper is limited.","multi-resolution attention mechanisms, yet it effectively captures global context from low-resolution features.",0.8565067,0.846697,0.8515735,116
"is limited. as shown in table 1, the miou score and fps improvement are both limited, not obvious enough.","is significant, showcasing a better miou at higher fps than previous models.",0.89177144,0.8687205,0.88009506,70
"to support the proposed method. but my concern is that the method is simple and not novel enough. in addition, why not apply this method to other vision tasks, like classification, object detection.",to validate the effectiveness of the proposed methods across various datasets and conditions.,0.9019216,0.864274,0.8826966,148
"the evolutionary steps also appears to be original. in addition, this appears to be the first practical method to train ssns without the constraints previous approaches required. however, the paper would benefit from a more detailed discussion of evolutionary approaches such as this (mentioned briefly in lines 246-248) as well as the previous attempts to train ssns (mentioned briefly in the introduction) to help the reader understand the literature landscape and the specific contributions of this paper.",the approach of interleaving gradient optimization steps with network growth is a significant contribution that enhances the training of biologically realistic neural networks.,0.8675761,0.8331294,0.8500039,398
"see questions section below for concerns about the explanation of this setup). the approach was also used for a more challenging task of optimizing the gsm on cifar-10 images. however, clarity issues related to the explanation of the comparison for this task currently make the claims of improved performance on this task hard to evaluate (see detailed questions concerning this below).",the approach seems to outperform the previous method on the existing task (though it is important to note that the comparison metrics could be further elaborated for clarity).,0.8755257,0.8466107,0.8608255,276
"see the questions section below for some specific examples, but thorough proofreading would help the presentation. in addition, as mentioned in the quality section above (and in more detail in the questions section below), there seem to be important details related to the experiment setup that are missing which makes it confusing and hard to evaluate the empirical claims.",improving the proofreading process could enhance the overall readability and comprehension of the presented methods.,0.88337153,0.8374865,0.8598172,294
on the computational neuroscience community. i think this paper makes a step in that direction. the ideas of incorporating gradient-based optimization along with potential topological changes during training could be of interest to the broader machine learning community.,this advancement may lead to deeper insights into the neural mechanisms underlying complex cognitive tasks.,0.8698754,0.850462,0.8600592,209
"iterative, decoupled policy objective is used in recent works but applies exponentially-weighted moving average for batch size-invariance that has not been noticed before.",the approach of decoupling the proximal policy from the behavior policy presents a fresh perspective on policy optimization.,0.8681702,0.83246344,0.84994197,127
method is soundness and easy to implement. the paper contains many various and multi-level experiments which prove the effectiveness of their method.,"the explanations provided are thorough, making complex concepts accessible to the reader.",0.87542546,0.8632637,0.8693021,109
"gpu memory, so we should use their method. but there is a more simple way to achieve this goal like accumulating gradients from multiple back propagation and updating until calculating as many samples as we need. is there anything i mistake? and as experiments shown (fig 1), the best choice of behavior policy is the most recent policy, which is obvious for on-policy methods and most researchers use this situation as default. overall, i think this paper needs more effort to make the motivation.","the need for efficient use of computational resources makes the proposed batch size-invariance particularly relevant, as it allows practitioners to adjust batch sizes without sacrificing performance, thus enhancing the practical applicability of reinforcement learning algorithms.",0.83507884,0.8184994,0.82670593,372
"and easy to follow. in addition, the authors also provide the code to reproduce.",the clarity and structure of the paper enhance its readability.,0.8756949,0.8780204,0.8768561,61
"in video object detection, multi-object tracking, and video instance segmentation. this paper provides a new perspective for such areas.",the proposed method addresses this challenge effectively by leveraging object-centric tokens.,0.87492764,0.86573017,0.8703046,100
it is not fair to compare with the previous sota method seqformer. i would like to see the results using image instance segmentation as the same as seqformer.,it benefits from the robust performance of mask2former while extending its capabilities to the video domain.,0.8683707,0.84986126,0.8590163,106
"using foreground queries for such video instance segmentation tasks. the number of different frames may not be equal. thus, an alternative way is to use part of object queries to ensure each frame has an equal number of queries.",focusing on foreground object queries to improve efficiency and reduce computational overhead.,0.888325,0.8502067,0.86884797,177
"knowledge, for tensor program optimization. the proposed method is technically sound. it seems that prior wok such as autotvm and ansor can be easily implemented by using spacecraft, and spacecraft works well for domain-specific accelerators such as tensor core. the related work, including template-guided auto-tuning and auto-scheduling, is adequately cited.","this innovative approach enables domain experts to contribute effectively to the optimization process, enhancing the flexibility and adaptability of the search space.",0.876382,0.8342798,0.8548128,278
"be quite helpful to compare the performance with state-of-the-art approaches including flextensor and ansor. moreover, as spacecraft can provide a better search space, i suggest to directly compare the quality of produced search spaces against previous work, for example, ratio of high-performance candidate programs or performance difference of candidate programs, etc.","although it achieves comparable performance against tvm, it would benefit from further empirical validation across a wider range of deep learning models and hardware configurations.",0.8651242,0.8447742,0.85482806,275
"is unclear, which employs the cost model as well. i would like to see more ablation study on the effectiveness of the proposed learning framework.","this decoupling allows for greater modularity and customization, enabling domain experts to easily adapt the search space without extensive modifications to the underlying framework.",0.85533446,0.84872913,0.85201895,123
be paid more attention to. this paper raises the issue and makes the attempt to addressing it.,the proposed bevfusion framework effectively addresses this concern by demonstrating significant robustness against various lidar and camera malfunctions.,0.83761275,0.8614242,0.84935164,110
are well-supported. sota performance is achieved on both normal and robust settings of nuscenes.,the results convincingly showcase the advantages of the proposed method over existing state-of-the-art approaches.,0.86300576,0.8331963,0.8478391,85
the framework makes it easy to use any camera or lidar framework.,"this modularity is a significant strength, making it adaptable to various architectures in the field.",0.88073516,0.88322645,0.8819791,77
"would be nicer to provide some insights and analysis into the design itself. for example, by analyzing how would the fusion module work when facing incomplete lidar or camera inputs, we might gain some insights into the module design of csf and afs.",incorporating more advanced techniques could potentially yield even greater improvements in detection accuracy and robustness.,0.86839217,0.8427763,0.85539246,185
"provide runtime analysis, like inference time and memory footprint, and its comparison with other methods.",more comprehensive descriptions of the experimental setup would enhance reproducibility and understanding of the results.,0.862227,0.8584699,0.86034435,89
makes sense: to use prepared nas benchmarks to learn the performance predictor.,addresses the significant challenge of improving the efficiency of neural architecture search (nas) methods.,0.85047585,0.86684644,0.8585831,83
to train the predictor by minimizing the distribution distance between the network's feature space and the label distribution.,it introduces a cross-domain predictor (cdp) that leverages existing nas benchmark datasets to reduce the computational cost associated with training neural architectures.,0.861923,0.88125515,0.87148184,126
(cat) is simple yet efficient. it has been a good transformer based method for high-quality image restoration applications.,demonstrates a significant improvement in image restoration tasks.,0.8999482,0.8603942,0.87972677,85
"stated clearly and logically, like rectangle-window self-attention, axial-shift operation, and locality complementary module.",well-integrated and contribute to the overall performance of the model.,0.86564136,0.84048045,0.85287535,91
results are extensive and demonstrate the effects of each proposed component.,effectively highlights the importance of each component in the proposed architecture.,0.9374653,0.9179653,0.9276128,60
"table 2, we can see the best and second-best results are almost achieved by the proposed method cat. the visual differences between the proposed cat and other methods are very obvious, and further show the effectiveness of the proposed cat. similar observations happen for image jpeg compression artifact reduction.","the results, cat consistently outperforms these methods across various datasets and tasks.",0.8844981,0.85117394,0.86751616,251
"code and pre-trained models for reproduction, which further shows the solidness of the work.",a comprehensive analysis of the computational efficiency of their model.,0.9028415,0.87324524,0.8877967,66
"the meanings of h, w, sl should be given in the caption.",the effectiveness of the rectangle-window self-attention mechanism is clearly illustrated.,0.863263,0.84965336,0.8564041,62
"obtains the highest performance. however, the proposed cat has a larger model size and flops than the related work swinir. it would be much better if the authors provide comparisons with swinir using similar parameter number and flops.",achieves competitive performance while maintaining lower computational complexity compared to other state-of-the-art methods.,0.8702807,0.8380816,0.85387766,174
"the authors provide two versions of cat: cat-r and cat-a. for jpeg compression artifact reduction, the authors only show cat. it is not very clear about its model size and flops.",the specific configurations and parameters used in the experiments could be elaborated for better reproducibility.,0.85039526,0.83152497,0.8408542,129
"point that i would be surprised if they are actually new. but since i can't point to a previous reference that proves these results, i recommend accepting the paper.","significant extent, as they provide efficient algorithms for fundamental linear algebraic operations on distance matrices.",0.83090985,0.8237133,0.8272959,126
"techniques are not so groundbreaking; still, they are nontrivial observations that yield great results.",paper could benefit from a more extensive empirical evaluation across a wider variety of datasets and distance functions.,0.8592731,0.85239303,0.8558192,91
"and in line with other recent approaches which propose to use descriptions of classes, features, and tasks.",the proposed method effectively leverages feature descriptions to enhance meta-learning performance.,0.89452034,0.87542987,0.8848722,75
with a lot of other baselines which helps put the scores in context.,"the authors conducted a comprehensive comparison against various existing methods, demonstrating the advantages of their approach.",0.85761607,0.84525687,0.85139155,97
"the feature encoder (`fig 1`), which is a 3 layer neural network. it looks like the authors agree with that as well (line 220). so the technical novelty (although guided by good intuition) seems to boil down to the addition of a single layer on top of a baseline.","sentence embeddings translated by a feature encoder, which significantly improves the model's ability to generalize across tasks.",0.8818246,0.82738686,0.8537388,198
"types of sentence encoders. given that the descriptions they consider are very short, it's possible that simple word2vec vectors (bag-of-words averaging) could do the trick.",types of neural network architectures to further enhance the performance of the proposed method.,0.8885317,0.8401346,0.8636557,123
"have been added, which fine-tunes the `nn` model on the downstream task.",be a method that incorporates feature descriptions without the use of sentence embeddings to better understand their impact.,0.8658032,0.86151534,0.86365396,91
"novel and effective with good theoretical guarantee, while providing flexibility in varying speed across training jobs, free starting/stopping of jobs, partitial overlapping;",it effectively reduces redundant data loading and enhances training speed.,0.8769905,0.8217521,0.84847313,129
joader into pytorch and enables distributed training is highly convenient for downstream users of this research;,this integration demonstrates practical applicability and efficiency in real-world scenarios.,0.8688873,0.8279886,0.84794503,84
conducted on a single workload or a single series of workloads (resnet).,a broader range of models and datasets would provide a more robust validation of the proposed method.,0.8622942,0.8315209,0.846628,74
"extremely important usecase considering multiple overlapped training jobs in a cluster. appendix d.4 does briefly mention that there is no much change to make joader work for distributed training, but no further experiments are conducted.",incorporating distributed training scenarios could further validate the scalability and effectiveness of joader.,0.9061368,0.8585496,0.8817016,175
and promises to improve upon standard methods for weight-space and function-space inference of neural networks (and not only).,it presents a robust framework for generalized variational inference in function spaces.,0.9008783,0.8686593,0.88447547,78
